72000	21.797001	5.535000	8.325000	0.016000	0.016000	34.112000	0.017000	
73000	21.337000	5.248000	8.934000	0.026000	0.019000	38.391998	0.038000	
74000	20.561001	4.728000	8.135000	0.017000	0.017000	35.730999	0.021000	
75000	27.039000	6.059000	9.912000	0.018000	0.021000	40.202000	0.018000	
76000	25.188999	5.532000	9.987000	0.020000	0.022000	47.040001	0.028000	
77000	28.618999	5.527000	9.113000	0.018000	0.019000	43.382000	0.031000	
78000	24.778000	5.563000	9.646000	0.019000	0.019000	41.497002	0.023000	
79000	25.420000	5.535000	9.679000	0.018000	0.021000	45.139000	0.019000	
80000	24.749001	6.058000	9.594000	0.017000	0.019000	41.831001	0.025000	
81000	24.655001	5.913000	10.479000	0.023000	0.023000	46.570000	0.028000	
82000	27.882999	6.526000	11.130000	0.020000	0.020000	60.721001	0.035000	
83000	33.451000	6.963000	10.506000	0.021000	0.020000	53.179001	0.021000	
84000	31.740999	7.715000	12.961000	0.025000	0.025000	50.882000	0.022000	
85000	37.598000	7.305000	13.877000	0.023000	0.025000	59.839001	0.023000	
86000	35.161999	8.981000	13.864000	0.035000	0.035000	57.652000	0.040000	
87000	37.292000	9.534000	15.276000	0.032000	0.029000	61.529999	0.032000	
88000	43.306999	12.273000	22.083000	0.030000	0.042000	70.403999	0.033000	
89000	36.237999	9.966000	15.012000	0.021000	0.028000	55.651001	0.023000	
90000	32.247002	8.060000	13.620000	0.023000	0.025000	54.770000	0.029000	
91000	33.258999	8.510000	12.810000	0.027000	0.029000	55.049000	0.022000	
92000	42.914001	11.591000	17.985001	0.030000	0.032000	72.314003	0.032000	
93000	42.012001	10.812000	15.319000	0.034000	0.032000	70.516998	0.031000	
94000	42.070999	10.632000	16.614000	0.024000	0.026000	66.066002	0.031000	
95000	44.698002	8.955000	15.579000	0.032000	0.031000	61.535000	0.025000	
96000	36.853001	9.047000	15.094000	0.025000	0.027000	62.285999	0.028000	
97000	37.140999	9.491000	15.369000	0.032000	0.033000	60.667999	0.038000	
98000	36.181000	8.360000	15.092000	0.022000	0.026000	59.219002	0.024000	
99000	36.478001	9.714000	16.112000	0.023000	0.027000	73.785004	0.048000	
100000	66.325996	12.350000	17.391001	0.037000	0.047000	93.473999	0.036000	
