72000	22.365000	5.028000	9.066000	0.021000	0.021000	35.214001	0.018000	
73000	19.749001	4.755000	8.224000	0.017000	0.018000	33.831001	0.021000	
74000	26.804001	6.904000	9.788000	0.018000	0.019000	41.717999	0.022000	
75000	21.635000	5.417000	10.417000	0.024000	0.024000	42.643002	0.019000	
76000	21.555000	5.202000	9.331000	0.018000	0.020000	37.250999	0.023000	
77000	22.385000	5.338000	9.205000	0.019000	0.018000	37.574001	0.022000	
78000	24.103001	6.375000	10.415000	0.024000	0.024000	47.848999	0.023000	
79000	30.132000	5.717000	10.365000	0.025000	0.024000	43.182999	0.023000	
80000	24.622999	6.047000	11.047000	0.023000	0.023000	48.435001	0.029000	
81000	28.691000	7.450000	11.666000	0.020000	0.026000	46.924999	0.026000	
82000	27.344999	8.000000	12.690000	0.022000	0.024000	45.944000	0.020000	
83000	25.775999	6.189000	10.703000	0.018000	0.020000	44.124001	0.020000	
84000	27.653000	6.841000	14.104000	0.027000	0.027000	53.756001	0.022000	
85000	28.433001	6.858000	11.750000	0.024000	0.023000	46.980000	0.031000	
86000	29.802000	8.106000	13.177000	0.021000	0.024000	59.293999	0.039000	
87000	39.790001	9.788000	18.461000	0.033000	0.038000	59.601002	0.029000	
88000	34.816002	8.145000	13.347000	0.027000	0.028000	55.153000	0.025000	
89000	33.255001	10.527000	14.362000	0.033000	0.036000	54.337002	0.023000	
90000	30.007999	7.466000	12.817000	0.022000	0.024000	56.441002	0.028000	
91000	32.490002	7.949000	13.466000	0.022000	0.024000	53.730000	0.026000	
92000	32.665001	7.956000	13.436000	0.025000	0.026000	54.219002	0.023000	
93000	32.370998	7.766000	13.610000	0.021000	0.028000	55.276001	0.026000	
94000	31.993000	7.296000	12.885000	0.021000	0.025000	54.571999	0.028000	
95000	34.464001	8.366000	14.204000	0.022000	0.026000	58.186001	0.027000	
96000	34.513000	8.737000	14.744000	0.024000	0.027000	60.306000	0.027000	
97000	35.534000	9.070000	14.886000	0.025000	0.028000	60.824001	0.030000	
98000	33.564999	8.116000	14.027000	0.022000	0.025000	56.750999	0.024000	
99000	34.022999	8.360000	14.581000	0.022000	0.026000	58.523998	0.026000	
100000	34.875999	8.304000	14.675000	0.022000	0.026000	60.300999	0.026000	
